ticker,company,sector,cluster,perfil,mean_pred_return,mean_vol_21d,mean_drawdown
A,Agilent Technologies,Health Care,2,Moderado,0.006949172292035501,0.017502794836687516,-0.09522591935667685
AAPL,Apple Inc.,Information Technology,1,Conservador,0.0017531550613767279,0.01568663064356866,-0.06206717788537501
ABBV,AbbVie,Health Care,1,Conservador,0.0013775265760529473,0.014871059268675085,-0.06100216408003084
ABNB,Airbnb,Consumer Discretionary,2,Moderado,0.010649024538656826,0.02088634154102953,-0.09816528436362845
ABT,Abbott Laboratories,Health Care,1,Conservador,2.4788803684343275e-05,0.01283632991902796,-0.06391287957901184
ACGL,Arch Capital Group,Financials,1,Conservador,0.0007387142501949323,0.014138561675730979,-0.05327158140505294
ACN,Accenture,Information Technology,2,Moderado,0.007877919538691259,0.01754673544512849,-0.11861434023323246
ADBE,Adobe Inc.,Information Technology,2,Moderado,0.013152905816924952,0.020532061491155888,-0.1421822038775147
ADI,Analog Devices,Information Technology,1,Conservador,0.005471265557856934,0.02069714160449047,-0.05984375545800488
ADM,Archer Daniels Midland,Consumer Staples,1,Conservador,0.00647270753630462,0.017667820787493804,-0.08011503710155857
ADP,Automatic Data Processing,Industrials,1,Conservador,-0.0012528523294475387,0.011590229614110633,-0.06216870071846942
ADSK,Autodesk,Information Technology,1,Conservador,0.0054560001284099015,0.01764309282720139,-0.08111827392049395
AEE,Ameren,Utilities,1,Conservador,-0.00391562847796964,0.010772147302795475,-0.034729948035891425
AEP,American Electric Power,Utilities,1,Conservador,-0.003962225923559871,0.01159253887221745,-0.03375311590347962
AES,AES Corporation,Utilities,2,Moderado,0.017989134730602353,0.025467917213540612,-0.13431365502450243
AFL,Aflac,Financials,1,Conservador,-0.002572727673556057,0.01215660139563809,-0.03759292620809836
AIG,American International Group,Financials,1,Conservador,0.00012484596196548074,0.013937994441804285,-0.053610584598733614
AIZ,Assurant,Financials,1,Conservador,0.00044679747304042196,0.013960511348130407,-0.047796636229147156
AJG,Arthur J. Gallagher & Co.,Financials,1,Conservador,0.002523838159348242,0.014081044988766762,-0.07635373846847165
AKAM,Akamai Technologies,Information Technology,2,Moderado,0.010080327706618741,0.02263531331219183,-0.09755941006861787
ALB,Albemarle Corporation,Materials,0,Arrojado,0.02968649663853671,0.03690244551898296,-0.15499314930508648
ALGN,Align Technology,Health Care,0,Arrojado,0.021081278287772908,0.025311063169209797,-0.1374167552045822
ALL,Allstate,Financials,1,Conservador,-0.00031996851026265777,0.014494070922273762,-0.03877565599870265
ALLE,Allegion,Industrials,1,Conservador,0.0010126534564668234,0.014378438233757642,-0.06708732193468585
AMAT,Applied Materials,Information Technology,2,Moderado,0.01210311016421121,0.027551925580673736,-0.09476459709725507
AMCR,Amcor,Materials,1,Conservador,0.002484718477074125,0.015388351123051296,-0.0737400658072452
AMD,Advanced Micro Devices,Information Technology,0,Arrojado,0.023363087307471022,0.03333861680452978,-0.14354863860051942
AME,Ametek,Industrials,1,Conservador,-0.00171004510006801,0.013295465854340922,-0.04273438283315412
AMGN,Amgen,Health Care,1,Conservador,0.003247137057528871,0.01625987358185854,-0.07107002092881666
AMP,Ameriprise Financial,Financials,1,Conservador,0.0016773004715884133,0.015061709275506473,-0.05983204278932292
AMT,American Tower,Real Estate,1,Conservador,0.0038161028753155046,0.01537108562768761,-0.08327170963475536
AMZN,Amazon,Consumer Discretionary,1,Conservador,0.004507584141657173,0.018732281737980073,-0.06550692489495234
ANET,Arista Networks,Information Technology,2,Moderado,0.016163744051946743,0.030549335789624814,-0.09718577774809083
AON,Aon plc,Financials,1,Conservador,0.000396615128881021,0.013417783617754668,-0.06226066998843673
AOS,A. O. Smith,Industrials,1,Conservador,0.003196896797221427,0.015066618364749863,-0.08388942843631256
APA,APA Corporation,Energy,2,Moderado,0.018320287178174906,0.02706589776388158,-0.12571521962112236
APD,Air Products,Materials,1,Conservador,0.0035492190380098506,0.015755480382523026,-0.07237466887410707
APH,Amphenol,Information Technology,1,Conservador,0.0042981569749271,0.02043399311570762,-0.05656742763692025
APO,Apollo Global Management,Financials,2,Moderado,0.01119921626870277,0.022137286727266427,-0.08959915793301045
APP,AppLovin,Information Technology,0,Arrojado,0.03498778972577897,0.04303163767344249,-0.1338568917184387
APTV,Aptiv,Consumer Discretionary,2,Moderado,0.01405632797263975,0.02260406564655924,-0.11703154951350575
ARE,Alexandria Real Estate Equities,Real Estate,2,Moderado,0.014187784189071722,0.020533504202743046,-0.14030445099586353
ARES,Ares Management,Financials,2,Moderado,0.01216164416542991,0.022008634887216164,-0.10008681970721776
ATO,Atmos Energy,Utilities,1,Conservador,-0.005813196451855896,0.009949252834585717,-0.027600042302121108
AVB,AvalonBay Communities,Real Estate,1,Conservador,-0.0004150502007400064,0.012572347103101825,-0.050321631180819636
AVGO,Broadcom,Information Technology,2,Moderado,0.01577700939474531,0.030654460701881738,-0.08761781043803638
AVY,Avery Dennison,Materials,1,Conservador,0.0005462628646468426,0.013142179450904217,-0.06297166483294596
AWK,American Water Works,Utilities,1,Conservador,0.0009613841381563543,0.0137686692461524,-0.059325372131420466
